0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13:05:40,0,Hz,0,W,4.7,mbar,4.2,mbar,,,13:52:42,0,Hz,0,W,3.4,mbar,3.2,mbar
13:05:42,0,Hz,0,W,4.6,mbar,4.1,mbar,,,13:52:44,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:44,0,Hz,0,W,4.5,mbar,4,mbar,,,13:52:46,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:46,0,Hz,0,W,4.4,mbar,3.9,mbar,,,13:52:48,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:48,0,Hz,0,W,4.3,mbar,3.9,mbar,,,13:52:50,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:50,0,Hz,0,W,4.2,mbar,3.9,mbar,,,13:52:52,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:52,0,Hz,0,W,4.2,mbar,3.8,mbar,,,13:52:54,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:54,0,Hz,0,W,4.1,mbar,3.8,mbar,,,13:52:56,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:56,0,Hz,0,W,4,mbar,3.8,mbar,,,13:52:58,0,Hz,0,W,3.3,mbar,3.1,mbar
13:05:58,0,Hz,0,W,4,mbar,3.8,mbar,,,13:53:00,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:00,0,Hz,0,W,3.9,mbar,3.7,mbar,,,13:53:02,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:02,0,Hz,0,W,3.9,mbar,3.7,mbar,,,13:53:04,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:04,0,Hz,0,W,3.9,mbar,3.7,mbar,,,13:53:06,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:06,0,Hz,0,W,3.9,mbar,3.7,mbar,,,13:53:08,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:08,0,Hz,0,W,3.8,mbar,3.6,mbar,,,13:53:10,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:10,0,Hz,0,W,3.8,mbar,3.6,mbar,,,13:53:12,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:12,0,Hz,0,W,3.8,mbar,3.6,mbar,,,13:53:14,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:14,0,Hz,0,W,3.8,mbar,3.6,mbar,,,13:53:16,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:16,0,Hz,0,W,3.8,mbar,3.6,mbar,,,13:53:18,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:18,0,Hz,0,W,3.8,mbar,3.5,mbar,,,13:53:20,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:20,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:22,0,Hz,0,W,3.3,mbar,3.1,mbar
13:06:22,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:24,0,Hz,0,W,3.2,mbar,3,mbar
13:06:24,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:26,0,Hz,0,W,3.2,mbar,3,mbar
13:06:26,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:28,0,Hz,0,W,3.2,mbar,3,mbar
13:06:28,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:30,0,Hz,0,W,3.2,mbar,3,mbar
13:06:30,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:32,0,Hz,0,W,3.2,mbar,3,mbar
13:06:32,0,Hz,0,W,3.7,mbar,3.5,mbar,,,13:53:34,0,Hz,0,W,3.2,mbar,3,mbar
13:06:34,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:36,0,Hz,0,W,3.2,mbar,3,mbar
13:06:36,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:38,0,Hz,0,W,3.2,mbar,3,mbar
13:06:38,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:40,0,Hz,0,W,3.2,mbar,3,mbar
13:06:40,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:42,0,Hz,0,W,3.2,mbar,3,mbar
13:06:42,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:44,0,Hz,0,W,3.2,mbar,3,mbar
13:06:44,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:46,0,Hz,0,W,3.2,mbar,3,mbar
13:06:46,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:48,0,Hz,0,W,3.2,mbar,3,mbar
13:06:48,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:50,0,Hz,0,W,3.2,mbar,3,mbar
13:06:50,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:52,0,Hz,0,W,3.2,mbar,3,mbar
13:06:52,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:54,0,Hz,0,W,3.2,mbar,3,mbar
13:06:54,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:53:56,0,Hz,0,W,3.2,mbar,3,mbar
13:06:56,0,Hz,0,W,3.6,mbar,3.3,mbar,,,13:53:58,0,Hz,0,W,3.2,mbar,3,mbar
13:06:58,0,Hz,0,W,3.6,mbar,3.3,mbar,,,13:54:00,0,Hz,0,W,3.2,mbar,3,mbar
13:07:00,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:02,0,Hz,0,W,3.2,mbar,3,mbar
13:07:02,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:04,0,Hz,0,W,3.2,mbar,3,mbar
13:07:04,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:06,0,Hz,0,W,3.2,mbar,3,mbar
13:07:06,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:08,0,Hz,0,W,3.2,mbar,3,mbar
13:07:08,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:10,0,Hz,0,W,3.2,mbar,3,mbar
13:07:10,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:12,0,Hz,0,W,3.2,mbar,3,mbar
13:07:12,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:14,0,Hz,0,W,3.2,mbar,3,mbar
13:07:14,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:16,0,Hz,0,W,3.2,mbar,3,mbar
13:07:16,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:18,0,Hz,0,W,3.2,mbar,3,mbar
13:07:18,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:20,0,Hz,0,W,3.2,mbar,3,mbar
13:07:20,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:22,0,Hz,0,W,3.2,mbar,3,mbar
13:07:22,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:24,0,Hz,0,W,3.2,mbar,3,mbar
13:07:24,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:26,0,Hz,0,W,3.2,mbar,3,mbar
13:07:26,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:28,0,Hz,0,W,3.2,mbar,3,mbar
13:07:28,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:30,0,Hz,0,W,3.2,mbar,3,mbar
13:07:30,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:32,0,Hz,0,W,3.2,mbar,3,mbar
13:07:32,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:34,0,Hz,0,W,3.2,mbar,3,mbar
13:07:34,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:36,0,Hz,0,W,3.2,mbar,3,mbar
13:07:36,0,Hz,0,W,3.5,mbar,3.3,mbar,,,13:54:38,0,Hz,0,W,3.2,mbar,3,mbar
13:07:38,0,Hz,0,W,3.6,mbar,3.3,mbar,,,13:54:46,0,Hz,0,W,3.2,mbar,3,mbar
13:07:40,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:48,0,Hz,0,W,3.2,mbar,3,mbar
13:07:42,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:50,0,Hz,0,W,3.2,mbar,3,mbar
13:07:44,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:52,18,Hz,28,W,3.2,mbar,2.9,mbar
13:07:46,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:54,48,Hz,30,W,3.1,mbar,2.8,mbar
13:07:48,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:56,79,Hz,32,W,2.9,mbar,2.7,mbar
13:07:50,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:54:58,106,Hz,35,W,2.8,mbar,2.5,mbar
13:07:52,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:00,127,Hz,37,W,2.5,mbar,2.3,mbar
13:07:54,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:02,158,Hz,40,W,2.3,mbar,1.9,mbar
13:07:56,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:04,191,Hz,42,W,1.9,mbar,1.8,mbar
13:07:58,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:06,219,Hz,45,W,1.7,mbar,1.6,mbar
13:08:00,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:08,251,Hz,48,W,1.4,mbar,1.3,mbar
13:08:02,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:10,275,Hz,49,W,1,mbar,1,mbar
13:08:04,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:12,309,Hz,52,W,0.85,mbar,0.69,mbar
13:08:06,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:14,344,Hz,54,W,0.5,mbar,0.43,mbar
13:08:08,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:16,370,Hz,57,W,0.18,mbar,0.15,mbar
13:08:10,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:18,394,Hz,59,W,0.031,mbar,0.03,mbar
13:08:12,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:20,430,Hz,62,W,0.013,mbar,0.01,mbar
13:08:14,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:22,464,Hz,65,W,0.0046,mbar,0.0036,mbar
13:08:16,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:24,489,Hz,68,W,0.0026,mbar,0.0021,mbar
13:08:18,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:26,528,Hz,71,W,0.002,mbar,0.0015,mbar
13:08:20,0,Hz,0,W,3.6,mbar,3.4,mbar,,,13:55:28,557,Hz,73,W,0.0013,mbar,0.0011,mbar
